participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4
201,2,4,2,1,4,2,1,2,2,2,5,2,2,5,4,4,2,1,4,2,5,5,5,4,5,1,3,4,1,2,3,5,5,2,5,5,5,5,3,4,3,1
202,4,4,5,2,2,4,3,2,2,4,2,5,3,3,1,1,4,5,4,4,4,2,2,5,1,5,3,2,1,4,2,4,2,4,4,3,3,1,3,3,4,4
203,1,1,4,4,5,5,4,4,5,3,4,5,1,5,5,4,3,2,4,4,4,4,4,4,4,1,4,4,4,2,3,2,4,5,5,4,2,4,3,4,5,3
204,4,2,3,2,1,1,2,2,4,4,4,5,2,4,3,1,5,5,1,5,2,2,4,4,4,2,4,2,2,3,5,2,1,1,4,2,4,3,4,4,4,2
205,2,1,2,4,4,5,4,4,4,2,4,5,2,4,1,2,4,3,2,2,4,4,4,4,4,2,5,5,4,5,3,4,2,4,5,3,4,5,4,5,4,3
206,3,2,4,4,4,4,5,4,3,3,5,5,2,5,4,4,2,2,3,2,4,4,4,3,4,2,4,4,3,4,3,3,3,3,4,4,4,4,3,4,4,3
207,2,2,4,4,4,4,4,2,4,3,1,1,4,2,2,2,4,4,3,4,4,3,2,4,4,3,5,4,3,4,4,4,4,4,3,4,4,4,4,3,3,3
208,1,2,2,3,5,4,2,2,5,3,1,5,3,4,3,3,3,2,3,3,4,3,4,4,3,2,5,4,3,5,3,5,4,4,5,4,5,4,3,4,3,4
209,2,4,1,2,4,4,4,2,4,5,2,5,2,4,4,4,4,1,3,5,4,4,4,5,4,2,5,4,3,4,2,4,5,5,5,2,4,5,4,5,5,5
211,2,2,4,4,4,4,2,4,4,2,2,2,2,3,1,1,4,5,2,4,4,4,4,4,4,2,4,4,4,5,5,4,5,5,5,4,4,5,4,4,4,4
213,4,3,3,1,1,2,1,3,1,5,2,3,5,1,1,1,4,3,5,5,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
